Symbol,Strategy,Return %,Win Rate %,Profit Factor,Sharpe,Max DD %,Trades,Avg Trade ₹,Total Charges ₹
RELIANCE,EMA_21_55,-6.581541655097012,37.254901960784316,0.8808911711966732,-0.020208612215421286,-29.089920922473624,51,-129.04983637445108,1147.6970319425895
RELIANCE,RSI_Divergence,-20.699963487833855,38.18181818181819,0.5843530350702917,-0.4212522971674632,-37.64821522993092,55,-376.36297250606975,3110.4592148636807
RELIANCE,VWAP_Pullback,-68.08594937021557,22.377622377622377,0.3918304856338055,-0.7338276948103378,-76.49735849990431,143,-476.12552007143756,2946.642698054425
RELIANCE,BB_Squeeze,-3.5295414576823823,32.432432432432435,0.9245097820655328,-0.010042027988538135,-24.972546890487628,37,-95.39301236979406,2045.0310748664292
RELIANCE,EMA_3_Scalping,-18.651960241986902,36.84210526315789,0.6898923755188245,-0.3758519264533908,-25.765937842048785,57,-327.2273726664373,4531.734639589261
RELIANCE,Supply_Demand,-22.7328621228338,15.384615384615385,0.4120980357427444,-0.8886284579524009,-24.115139013883358,26,-874.3408508782221,1107.142071941773
RELIANCE,Stochastic_Confluence,-0.14025281952011576,35.483870967741936,0.9962574096534073,0.042944003640553785,-23.61172863112556,31,-4.524284500650391,1327.9530951854497
RELIANCE,Fib_3Wave,12.911649494505662,90.0,44.13302933884462,1.1928783674392451,-0.28094871470620814,10,1291.164949450566,928.0078901343386
RELIANCE,Multi_Timeframe,-29.332543654730163,24.358974358974358,0.681927826442954,-0.20170697067919996,-51.353640833683215,78,-376.05825198371997,2935.5998605731093
TCS,EMA_21_55,21.515951769782333,57.14285714285714,2.307048375113752,0.42192008917782475,-18.6818469942997,21,1024.5691318943952,546.417847886797
TCS,RSI_Divergence,28.014238894426917,46.666666666666664,1.50387736261308,0.4565852134336273,-29.55636433559725,60,466.9039815737824,4554.232556298686
TCS,VWAP_Pullback,12.397459446668261,40.17857142857143,1.075869169250373,0.2089049408298785,-53.39092970811906,112,110.6916022023946,5788.883880297155
TCS,BB_Squeeze,2.69217312916879,34.61538461538461,1.0754163126268454,0.10407622494039016,-20.907332145454955,26,103.54512035264575,1478.0120252609202
TCS,EMA_3_Scalping,35.57808922202448,54.6875,1.5552892119383446,0.5849356217962002,-16.62203858448925,64,555.9076440941321,6004.109183080839
TCS,Supply_Demand,-15.358290903283429,18.181818181818183,0.461295464563406,-0.4883234987644415,-18.729027112092474,22,-698.1041319674288,1337.7609670219324
TCS,Stochastic_Confluence,7.6753806134086044,41.66666666666667,1.26651633604761,0.24855382270796195,-8.633877166365957,24,319.80752555869253,1316.5861027584801
TCS,Fib_3Wave,21.443399535504387,89.47368421052632,63.731478685917594,0.7257757438603671,-7.000118695676422,19,1128.599975552863,1771.3482795556072
TCS,Multi_Timeframe,60.46678309297573,41.333333333333336,1.5511321001420557,0.5201371550880536,-33.19663057964201,75,806.22377457301,4448.180010214597
HDFCBANK,EMA_21_55,23.11193751089185,47.82608695652174,2.0187809249128006,0.3972896214088253,-16.002022580477796,23,1004.8668482996445,615.5528656485507
HDFCBANK,RSI_Divergence,-15.982053876773744,36.17021276595745,0.7050471863933985,-0.2982021822420611,-25.205756552680892,47,-340.04369950582344,3314.0117160977993
HDFCBANK,VWAP_Pullback,-47.945583464689186,25.663716814159294,0.6118953041484142,-0.4832182310259388,-59.707084179130064,113,-424.29719880255914,3603.5627298288514
HDFCBANK,BB_Squeeze,-8.248891090016055,32.0,0.7277864879890129,-0.12292230416778234,-28.042253588762804,25,-329.9556436006419,1372.3336038738846
HDFCBANK,EMA_3_Scalping,14.618029133922436,50.0,1.225360768999281,0.2657367068314861,-23.556333327236267,66,221.4852899079165,6015.764267822049
HDFCBANK,Supply_Demand,-12.914485711838102,25.0,0.5505247445211926,-0.4494261744660271,-19.10811471889539,20,-645.7242855919058,1291.3747842623197
HDFCBANK,Stochastic_Confluence,17.71230339848483,53.333333333333336,2.296344041131078,0.5715410574958708,-5.487493798192957,15,1180.8202265656557,908.9157114259235
HDFCBANK,Fib_3Wave,9.338485277245564,66.66666666666666,4.74598743049202,0.7836621961519951,-1.9921300995507623,12,778.2071064371286,1122.5497021544434
HDFCBANK,Multi_Timeframe,-14.608473439646245,27.27272727272727,0.8321519248876665,-0.048637321477335495,-48.755111106089224,55,-265.6086079935677,3308.8800323050127
INFY,EMA_21_55,-1.3948451291338424,39.39393939393939,0.9858957818584281,0.04885783835768019,-47.51598147849945,66,-21.13401710808941,2293.517304785842
INFY,RSI_Divergence,-3.6578984740286105,36.84210526315789,0.9244948726697426,-0.01688586259963464,-27.35841654096242,38,-96.2604861586495,2686.1476580499348
INFY,VWAP_Pullback,72.44175689268089,42.138364779874216,1.2083431918506806,0.5198762097027668,-34.72314258751251,159,455.60853391623175,11648.71237719019
INFY,BB_Squeeze,16.713377211958505,42.10526315789473,1.6335007213457016,0.5482400112079724,-11.578210357051475,19,879.6514322083439,1099.4035097741198
INFY,EMA_3_Scalping,20.4088233445775,51.85185185185185,1.3366701079126448,0.3671873623641922,-21.605532150392513,54,377.94117304773084,4841.883309126511
INFY,Supply_Demand,2.9443248031585387,34.78260869565217,1.0976786455138143,0.11545324366226148,-15.639642695094262,23,128.01412187645863,1310.3019671021495
INFY,Stochastic_Confluence,-17.36588792333094,7.142857142857142,0.16573339062155204,-1.012758588768526,-19.279528401824837,14,-1240.4205659522104,753.212870828353
INFY,Fib_3Wave,8.66592850277119,100.0,inf,0.5024855978732042,-6.3743665642984535,5,1733.1857005542383,447.24319716880626
INFY,Multi_Timeframe,23.83468725857913,35.714285714285715,1.1399787059923705,0.2837567695212809,-43.4258248742733,84,283.74627688784625,5857.333489546758
ICICIBANK,EMA_21_55,123.70140348764727,66.66666666666666,11.99724749685709,1.095116434600745,-16.553420224780655,18,6872.300193758182,490.51768329698314
ICICIBANK,RSI_Divergence,-25.740397539280547,37.096774193548384,0.6230319625072039,-0.5270087883503883,-41.29460402276635,62,-415.1677022464606,4250.101745799534
ICICIBANK,VWAP_Pullback,-2.7260781138320747,36.76470588235294,0.9858026769013211,0.10351070949789842,-50.72793381135734,136,-20.04469201347131,6701.272893316817
ICICIBANK,BB_Squeeze,-30.537119104973385,8.333333333333332,0.20811639084172615,-1.1842098179475116,-31.57451381618528,24,-1272.379962707225,1233.311027450141
ICICIBANK,EMA_3_Scalping,52.71399708336039,60.0,2.1088264359511673,0.8106476299575122,-20.304888551631432,60,878.5666180560053,5335.685731418178
ICICIBANK,Supply_Demand,12.579328478001248,36.36363636363637,1.4478477520821922,0.3843596510053476,-13.41022738652756,22,571.7876580909657,1469.8876393513217
ICICIBANK,Stochastic_Confluence,-1.5012670218057464,35.714285714285715,0.9209493427257115,-0.04305203443208747,-10.194392055094015,14,-107.2333587004125,947.3525127277227
ICICIBANK,Fib_3Wave,25.3267485157199,94.73684210526315,32.98271570417107,1.396585145252669,-2.8680587971296223,19,1332.986763985259,1761.689658900222
ICICIBANK,Multi_Timeframe,71.00421766843678,45.76271186440678,1.783022736252312,0.5497032481741322,-28.232898352776843,59,1203.4613164141829,3745.4029003920277
