strategy,leak,t_cagr,t_sharpe,t_maxdd,t_trades,t_win,v_cagr,v_sharpe,v_maxdd,v_trades,v_win,error
adx_dmi_obv,clean,0.2,0.07,-24.7,122.0,37.7,-4.5,-0.38,-14.0,54.0,35.2,
adx_filter,clean,0.8,0.52,-2.3,4.0,50.0,-0.3,-0.21,-1.8,3.0,33.3,
alligator,clean,-1.1,0.01,-40.4,415.0,37.6,-7.0,-0.46,-15.5,160.0,36.2,
ascending_triangle,clean,7.6,0.67,-17.7,201.0,44.8,2.9,0.31,-14.9,63.0,46.0,
atr_breakout,clean,6.5,0.48,-18.1,317.0,40.7,-7.9,-0.57,-24.9,108.0,38.9,
atr_trailing_stop,clean,-0.4,0.06,-50.8,194.0,36.6,-7.4,-0.47,-29.1,69.0,33.3,
bb_mean_reversion,clean,4.0,0.52,-14.6,78.0,44.9,-2.5,-0.31,-12.3,45.0,33.3,
bb_squeeze,clean,0.0,0.07,-29.9,134.0,35.8,-14.1,-1.28,-22.3,69.0,24.6,
candlestick_patterns,clean,10.4,0.92,-18.8,202.0,51.5,-6.6,-0.54,-16.4,86.0,44.2,
cci_divergence,clean,9.3,0.85,-13.8,119.0,48.7,5.0,0.53,-13.9,55.0,45.5,
cci_zero_cross,clean,14.4,0.95,-19.5,315.0,40.0,5.6,0.48,-12.1,112.0,35.7,
chandelier_exit,clean,-19.1,-2.51,-58.1,726.0,24.8,-19.0,-2.4,-28.3,276.0,25.0,
choppiness_breakout,clean,-2.6,-0.49,-16.1,62.0,32.3,0.6,0.13,-6.2,22.0,40.9,
choppiness_filter,clean,2.8,0.6,-9.1,27.0,51.9,-1.3,-0.2,-6.9,7.0,42.9,
choppiness_volume,clean,-1.1,-0.17,-10.9,65.0,36.9,-3.1,-0.7,-5.6,17.0,29.4,
cmf_ichimoku,clean,11.6,0.85,-32.8,305.0,44.6,-8.7,-0.69,-21.8,113.0,33.6,
cmf_strategy,clean,8.7,0.6,-31.1,285.0,41.4,0.5,0.1,-13.8,100.0,35.0,
cpr,clean,-9.2,-0.78,-41.7,682.0,38.1,-20.2,-2.24,-33.6,263.0,30.4,
donchian_turtle,clean,-1.9,-0.05,-49.9,288.0,37.5,-3.5,-0.2,-20.5,101.0,37.6,
double_bb,clean,-29.4,-13.35,-74.3,1262.0,0.1,-30.0,-13.67,-41.8,512.0,0.2,
double_vwap_ha,LEAK-SUSPECT,,,,,,,,,,,"ValueError(""'date' is both an index level and a column label, which is ambiguous"
elliott_abc,clean,5.8,0.48,-27.8,202.0,45.5,2.3,0.25,-17.3,75.0,48.0,
elliott_wave3,clean,19.5,1.19,-20.3,109.0,52.3,-1.9,-0.08,-18.4,42.0,42.9,
ema_21_55,LEAK-SUSPECT,18.7,1.1,-29.7,117.0,44.4,-7.7,-0.55,-22.4,54.0,31.5,
ema_3_scalping,clean,-2.5,-0.13,-40.9,604.0,47.8,-4.4,-0.34,-22.8,212.0,48.1,
ema_scalping_1min,LEAK-SUSPECT,12.4,0.81,-32.1,132.0,49.2,-2.5,-0.13,-14.1,52.0,42.3,
fib_3wave,LEAK-SUSPECT,-4.1,-1.43,-17.6,210.0,1.4,-2.4,-0.83,-3.7,70.0,1.4,
fib_confluence,clean,3.5,0.31,-39.4,340.0,38.8,-1.0,-0.01,-17.8,126.0,36.5,
fib_pivot,clean,-15.8,-1.26,-56.0,774.0,35.1,-23.2,-2.21,-33.2,314.0,32.2,
fib_retracement,clean,-15.8,-1.27,-54.0,1191.0,48.9,-19.6,-1.91,-28.1,474.0,46.2,
gmma,clean,15.8,1.04,-29.0,220.0,39.1,6.0,0.54,-13.6,93.0,37.6,
golden_ratio,clean,9.2,0.76,-16.7,282.0,41.8,-7.7,-0.64,-20.0,143.0,32.2,
ha_rsi,clean,4.3,0.34,-36.1,383.0,36.0,-10.5,-0.75,-20.0,155.0,31.6,
ha_trend,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hidden_divergence,clean,6.0,0.46,-33.5,230.0,42.6,-9.9,-0.86,-18.6,71.0,29.6,
hull_slope,clean,-3.2,-0.18,-31.0,575.0,31.5,-15.4,-1.53,-29.2,231.0,29.9,
ichimoku_ha,clean,23.4,1.34,-22.5,90.0,50.0,-6.3,-0.34,-23.5,37.0,37.8,
ichimoku_trend,clean,18.7,1.22,-19.6,71.0,56.3,-4.7,-0.32,-20.9,28.0,25.0,
kumo_breakout,clean,10.5,0.9,-13.8,129.0,54.3,-5.1,-0.54,-16.4,74.0,47.3,
london_breakout,LEAK-SUSPECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ma_crossover_swing,clean,18.7,1.44,-13.9,213.0,47.4,-2.6,-0.2,-15.0,83.0,33.7,
ma_envelopes,no-data,-14.6,-2.54,-48.6,612.0,42.0,-7.6,-1.86,-12.6,166.0,44.0,
macd_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
macd_ma_filter,clean,7.4,0.62,-26.1,207.0,42.0,-13.7,-0.99,-26.8,90.0,30.0,
macd_zero_line,clean,6.0,0.47,-39.4,214.0,41.1,-6.2,-0.49,-21.4,81.0,35.8,
market_swing,clean,11.2,0.8,-18.7,518.0,47.1,-4.6,-0.31,-23.8,200.0,43.5,
mcginley_dynamic,clean,8.8,0.64,-30.8,300.0,34.0,-7.5,-0.51,-23.4,134.0,24.6,
mfi_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
momentum_zero,clean,12.6,0.86,-23.8,261.0,42.5,-13.8,-1.06,-29.0,106.0,31.1,
multi_timeframe,clean,15.9,1.0,-22.5,136.0,41.9,0.2,0.08,-17.0,42.0,28.6,
obv_strategy,LEAK-SUSPECT,10.2,0.68,-30.5,308.0,39.9,-17.1,-1.38,-35.3,142.0,30.3,
pivot_point,clean,,,,,,,,,,,"ValueError(""'date' is both an index level and a column label, which is ambiguous"
psar_ichimoku,clean,12.2,0.84,-25.9,171.0,42.1,-6.9,-0.44,-18.4,56.0,41.1,
regular_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
renko_sma_obv,clean,3.8,0.32,-44.7,280.0,39.6,-10.5,-0.75,-25.9,111.0,34.2,
renko_sr,clean,-3.4,-0.15,-41.3,1112.0,37.0,-28.9,-2.4,-41.7,503.0,31.2,
roc_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
roc_ma,clean,6.9,0.54,-22.5,447.0,41.8,-7.1,-0.56,-15.6,171.0,31.6,
rsi_centerline,clean,11.6,0.81,-26.4,487.0,41.1,1.7,0.2,-18.0,199.0,36.2,
rsi_divergence,clean,-6.4,-0.43,-36.6,302.0,39.7,3.6,0.4,-14.8,123.0,43.9,
rsi_trend_confirmation,clean,21.1,1.26,-20.9,269.0,48.7,11.1,0.86,-9.4,84.0,44.0,
stochastic_confluence,clean,20.2,1.56,-15.6,140.0,50.7,-3.5,-0.24,-20.2,57.0,31.6,
stochastic_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stochrsi_macd,clean,0.2,0.07,-28.0,166.0,41.0,0.5,0.1,-12.3,68.0,41.2,
supply_demand,clean,15.4,0.93,-29.6,169.0,43.2,-14.8,-1.2,-23.7,70.0,22.9,
swing_pivot,clean,18.0,1.27,-21.6,363.0,53.4,-5.6,-0.4,-27.4,184.0,46.7,
tdi,clean,9.2,0.65,-34.3,362.0,42.5,-10.0,-0.72,-23.7,146.0,32.2,
trix_divergence,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
trix_zero_line,clean,9.3,1.14,-9.5,101.0,51.5,-6.6,-0.82,-17.4,43.0,30.2,
ttm_squeeze,clean,11.7,0.94,-22.6,207.0,46.4,-12.7,-1.15,-25.3,73.0,28.8,
ttm_squeeze_trend,clean,15.2,1.17,-19.7,183.0,50.8,-6.5,-0.58,-19.7,57.0,31.6,
volume_oscillator,LEAK-SUSPECT,12.9,0.85,-32.3,252.0,40.9,-4.7,-0.28,-22.0,105.0,37.1,
vwap_pullback,clean,,,,,,,,,,,"ValueError(""'date' is both an index level and a column label, which is ambiguous"
vwap_scalping,LEAK-SUSPECT,,,,,,,,,,,"ValueError(""'date' is both an index level and a column label, which is ambiguous"
vwap_sd_bands,LEAK-SUSPECT,,,,,,,,,,,"ValueError(""'date' is both an index level and a column label, which is ambiguous"
vwma_sma,clean,1.8,0.2,-34.1,254.0,39.4,-5.3,-0.43,-15.7,83.0,37.3,
wyckoff_accumulation,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wyckoff_distribution,no-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
